target_id	length	eff_length	est_counts	tpm
YFR056C	369	190	4	10.2694
YDR321W	1146	967	201	101.393
YHR029C	885	706	54	37.3103
YFL037W	1374	1195	619	252.675
YNL170W	396	217	24.521	55.1212
YOL091W	1830	1651	5	1.47728
YKR042W	1098	919	2685	1425.18
YER145C-A	438	259	44.2605	83.3598
YDL007C-A	258	79.0036	0	0
YDL031W	2988	2809	77	13.3715
YBR148W	1830	1651	20	5.90912
YGL123C-A	231	52.2911	0	0
YIL071W-A	477	298	20.004	32.7447
YLR246W	1080	901	40	21.6558
YJL140W	666	487	181	181.297
YDR169C-A	150	9.35544	0	0
YML019W	999	820	78	46.4003
YOR157C	786	607	312	250.73
YLR347W-A	141	8.14747	0	0
YOR363C	2991	2812	55	9.54086
YJL223C	363	184	1.86651	4.94826
YEL048C	459	280	3	5.22641
YBL080C	1626	1447	48	16.1813
YNL034W	1839	1660	1.66667	0.489757
YJR001W	1809	1630	247	73.9179
YMR182W-A	87	4.51079	0	0
YGR161W-B	5313	5134	151.594	14.4034
YPL248C	2646	2467	56	11.0728
YER030W	462	283	150	258.55
YER027C	1254	1075	134	60.8046
YER175W-A	165	12.1958	0	0
YFR001W	615	436	87	97.3358
YDL242W	354	175	2	5.57483
YIL075C	2838	2659	930	170.61
YJL104W	450	271	36	64.7997
YGL254W	900	721	37	25.0326
YGL201C	3054	2875	151	25.62
YGR165W	1038	859	53	30.097
YDL075W	342	163	1079	3229.04
YMR324C	243	64.0516	1	7.6157
YKL087C	675	496	60	59.0078
YGR228W	345	166	56.9811	167.442
YDL187C	330	151	0	0
YCR046C	510	331	88	129.686
YDR468C	675	496	101	99.3298
YNR012W	1506	1327	22	8.08708
YHL012W	1482	1303	5	1.87183
YEL039C	342	163	45	134.668
Q0080	147	8.91948	0	0
YDR250C	276	97.0001	0	0
YOR268C	399	220	1	2.21726
YDL144C	1071	892	115	62.8888
YLR200W	345	166	40	117.542
YGL247W	594	415	12	14.105
YIL133C	600	421	871	1009.2
YGR286C	1128	949	85	43.6911
YNR006W	1869	1690	188.579	54.4312
YJR136C	1266	1087	22	9.87264
YNL124W	1479	1300	55	20.6376
YJR079W	330	151	1.18162	3.81715
YAL005C	1929	1750	1550.03	432.058
YDL158C	309	130	10	37.5229
YNR047W	2682	2503	96	18.709
YOL037C	354	175	2.30969	6.43808
YPL131W	894	715	3193	2178.38
YHR123W	1176	997	91	44.5232
YIL092W	1902	1723	32	9.05951
YJR025C	534	355	115	158.019
YKL224C	372	193	0	0
YBL002W	396	217	230	517.021
YLR224W	1110	931	179	93.7872
YHL010C	1758	1579	69	21.3161
YPL016W	3945	3766	64	8.28972
YOR174W	855	676	59	42.5741
YOR143C	960	781	31	19.362
YLL032C	2478	2299	31	6.57753
YHR070W	1500	1321	44.2759	16.3495
YER122C	1482	1303	265	99.2068
YDR184C	885	706	9	6.21839
